feature_name,comparison_type,candidate_name,label_group,scheme_group,compared_rows,exact_match_count,exact_match_percentage,mae,median_absolute_error,pearson_correlation,modal_delta,modal_delta_count,top_delta_distribution
NoOfOtherSpecialCharsInURL,candidate_definition,B2_scheme_and_www_prefix_removed,all,all,235795,215785,91.5138149663903,0.18591149091371742,0.0,0.973848051423349,0.0,215785,0:215785; -1:14354; -2:2670; -4:755; -3:682
NoOfOtherSpecialCharsInURL,candidate_definition,B2_scheme_and_www_prefix_removed,phishing,all,100945,80939,80.18128683936797,0.43422655901728663,0.0,0.9736942831755742,0.0,80939,0:80939; -1:14350; -2:2670; -4:755; -3:682
NoOfOtherSpecialCharsInURL,candidate_definition,B2_scheme_and_www_prefix_removed,legitimate,all,134850,134846,99.99703374119392,2.9662588060808306e-05,0.0,0.9999416037650647,0.0,134846,0:134846; -1:4
NoOfOtherSpecialCharsInURL,candidate_definition,B2_scheme_and_www_prefix_removed_other_special,all,all,235795,14,0.005937360843105239,1.9016730634661465,1.0,0.8612148371748061,1.0,144464,1:144464; 2:41602; 3:24190; 4:9672; 5:6427
NoOfOtherSpecialCharsInURL,candidate_definition,B2_scheme_and_www_prefix_removed_other_special,phishing,all,100945,10,0.00990638466491654,2.8902768834513846,2.0,0.8753222592090983,1.0,29607,1:29607; 2:23364; 3:22499; 4:9612; 5:6427
NoOfOtherSpecialCharsInURL,candidate_definition,B2_scheme_and_www_prefix_removed_other_special,legitimate,all,134850,4,0.0029662588060808304,1.1616314423433445,1.0,0.5977276326586819,1.0,114857,1:114857; 2:18238; 3:1691; 4:60; 0:4
SpacialCharRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed,all,all,235795,1,0.0004240972030789457,0.03824656242473791,0.032111111111111104,0.8610048869276856,-0.031428571429,9336,-0.031428571429:9336; -0.034923076923:9153; -0.028666666667:8979; -0.040333333333:8735; -0.0255:8314
SpacialCharRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed,phishing,all,100945,1,0.000990638466491654,0.035389123053647234,0.030647058823529416,0.8555686500121337,-0.038333333333,1871,-0.038333333333:1871; -0.042909090909:1758; -0.048:1695; -0.033923076923:1682; -0.05:1598
SpacialCharRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed,legitimate,all,134850,0,0.0,0.04038556292392033,0.034923076923076925,0.9299258467965686,-0.031428571429,8796,-0.031428571429:8796; -0.034923076923:8684; -0.028666666667:8563; -0.040333333333:8232; -0.0255:7963
SpacialCharRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed_other_special,all,all,235795,103,0.043682011917131405,0.052259774116705494,0.045,0.628654015149952,0.042,10907,0.042:10907; 0.043:10855; 0.04:10577; 0.045:10501; 0.038:10270
SpacialCharRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed_other_special,phishing,all,100945,99,0.09807320818267372,0.06396360845211568,0.05966666666666666,0.6279329517398619,0.045,3219,0.045:3219; 0.048:2878; 0.043:2570; 0.077:2408; 0.05:2352
SpacialCharRatioInURL,candidate_definition,B2_scheme_and_www_prefix_removed_other_special,legitimate,all,134850,4,0.0029662588060808304,0.04349860572969784,0.04,0.5031445310470075,0.04,8796,0.04:8796; 0.042:8688; 0.038:8563; 0.043:8285; 0.037:7963
